,true,pred
0,0,1
1,0,1
2,0,0
3,0,0
4,0,0
5,1,1
6,1,0
7,1,0
8,1,0
9,1,1
10,0,0
11,0,1
12,1,1
13,0,1
14,0,0
15,1,0
16,0,0
17,0,1
18,1,1
19,1,1
20,0,0
21,0,1
22,1,0
23,1,1
24,1,0
25,1,0
26,1,1
27,0,0
28,1,0
29,1,0
30,0,0
31,1,0
32,1,0
33,1,1
34,1,0
35,1,0
36,0,0
37,0,0
38,1,1
39,1,1
40,0,1
41,0,0
42,0,0
43,1,1
44,1,0
45,0,1
46,1,0
47,1,0
48,1,1
49,1,0
50,1,1
51,0,1
52,0,0
53,0,1
54,1,1
55,1,0
56,1,0
57,0,1
58,0,1
59,0,0
60,1,0
61,0,0
62,1,0
63,1,0
64,1,0
65,1,1
66,0,0
67,0,0
68,0,1
69,1,1
70,0,0
71,0,0
72,0,0
73,1,1
74,0,0
75,1,1
76,0,0
77,1,0
78,0,0
79,0,1
80,1,0
81,0,0
82,1,1
83,1,1
84,1,1
85,0,0
86,1,1
87,0,1
88,1,0
89,1,1
90,0,1
91,1,0
92,1,0
93,1,1
94,1,1
95,0,1
96,1,0
97,1,1
98,0,1
99,0,1
100,1,0
101,0,1
102,1,1
103,0,0
104,1,1
105,1,1
106,1,1
107,0,0
108,1,0
109,0,0
110,1,1
111,1,0
112,0,0
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,0
119,1,0
120,1,1
121,1,1
122,1,1
123,0,1
124,0,0
125,0,1
126,0,1
127,0,0
128,1,1
129,1,1
130,0,1
131,1,1
132,0,0
133,0,1
134,0,0
135,1,1
136,0,0
137,1,0
138,1,1
139,1,0
140,1,0
141,0,0
142,1,1
143,1,1
144,1,0
145,1,1
146,0,1
147,1,1
148,0,0
149,1,0
150,1,1
151,1,1
152,0,0
153,0,0
154,0,1
155,1,0
156,0,1
157,0,1
158,0,1
159,1,1
160,1,1
161,0,1
162,1,0
163,1,0
164,0,1
165,1,0
166,1,1
167,0,0
168,0,1
169,0,1
170,1,1
171,0,0
172,1,0
173,0,0
174,0,1
175,1,0
176,0,1
177,0,1
178,0,0
179,1,0
180,1,0
181,1,0
182,1,1
183,0,1
184,1,1
185,1,0
186,0,0
187,1,1
188,0,0
189,0,1
190,1,0
191,1,1
192,1,0
193,0,0
194,0,1
195,1,0
196,1,1
197,1,1
198,0,0
199,1,0
200,1,0
201,0,1
202,1,0
203,0,0
204,1,0
205,0,0
206,0,1
207,0,1
208,1,1
209,0,1
210,0,1
211,1,0
212,1,1
213,0,1
214,1,0
215,0,0
216,0,1
217,1,0
218,0,1
219,1,1
220,1,0
221,1,0
222,0,1
223,0,0
224,0,1
225,1,1
226,0,0
227,0,0
228,0,0
229,1,1
230,0,1
231,1,1
232,0,1
233,0,1
234,1,0
235,0,1
236,1,1
237,0,1
238,0,1
239,1,1
240,0,1
241,1,1
242,0,0
243,0,1
244,0,1
245,1,1
246,0,0
247,1,0
248,1,1
249,1,1
250,0,1
251,1,1
252,1,0
253,1,0
254,0,0
255,1,1
256,1,0
257,0,0
258,0,0
259,1,1
260,1,1
261,1,0
262,1,0
263,1,0
264,1,1
265,1,1
266,1,0
267,0,0
268,1,1
269,1,1
270,1,1
271,1,1
272,0,0
273,0,0
274,1,1
275,1,1
276,0,0
277,1,0
278,1,1
279,0,0
280,0,0
281,1,0
282,1,1
283,1,0
284,1,1
285,1,0
286,1,0
287,0,0
288,1,0
289,0,1
290,1,1
291,1,1
292,1,0
293,0,0
294,0,0
295,1,1
296,0,1
297,0,1
298,1,1
299,0,1
300,0,0
301,0,1
302,0,0
303,0,0
304,0,1
305,1,0
306,1,1
307,0,1
308,0,0
309,1,1
310,0,1
311,1,0
312,0,1
313,0,0
314,1,0
315,1,1
316,0,0
317,1,0
318,1,1
319,0,0
320,0,0
321,1,1
322,1,1
323,1,1
324,1,1
325,1,0
326,1,1
327,1,0
328,1,1
329,1,0
330,0,1
331,1,1
332,1,0
333,1,0
334,0,0
335,1,1
336,1,0
337,1,0
338,1,0
339,0,1
340,0,1
341,1,1
342,1,0
343,1,0
344,0,0
345,0,1
346,1,1
347,0,0
348,1,0
349,0,1
350,1,1
351,1,0
352,1,0
353,1,0
354,0,0
355,1,1
356,0,0
357,1,0
358,1,0
359,1,0
360,1,0
361,0,0
362,0,1
363,0,1
364,1,0
365,1,0
366,1,1
367,1,1
368,0,1
369,0,0
370,1,1
371,0,1
372,1,1
373,1,0
374,0,0
375,1,1
376,0,0
377,0,1
378,1,0
379,1,0
380,0,0
381,0,0
382,1,1
383,0,0
384,1,1
385,0,0
386,0,1
387,1,0
388,0,1
389,0,1
390,0,0
391,1,0
392,1,1
393,0,0
394,0,0
395,0,0
396,1,0
397,1,1
398,1,1
399,1,0
400,1,0
401,1,1
402,0,0
403,1,1
404,0,0
405,0,0
406,0,1
407,1,0
408,0,0
409,1,1
410,0,0
411,0,1
412,1,1
413,0,1
414,0,1
415,0,0
416,0,0
417,1,0
